,Id,PID,Lot Area,Lot Config,Neighborhood,Condition 1,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,BsmtFin Type 1,Central Air,Gr Liv Area,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Garage Cars,Paved Drive,SalePrice
0,109,533352170,13517,CulDSac,Sawyer,RRAe,1Fam,2Story,6,8,1976,2005,GLQ,Y,1479,2,1,3,1,Gd,6,0,2.0,Y,130500
1,544,531379050,11492,CulDSac,SawyerW,Norm,1Fam,2Story,7,5,1996,1997,GLQ,Y,2122,2,1,4,1,Gd,8,1,2.0,Y,220000
2,153,535304180,7922,Inside,NAmes,Norm,1Fam,1Story,5,7,1953,2007,GLQ,Y,1057,1,0,3,1,Gd,5,0,1.0,Y,109000
3,318,916386060,9802,Inside,Timber,Norm,1Fam,2Story,5,5,2006,2007,Unf,Y,1444,2,1,3,1,TA,7,0,2.0,Y,174000
4,255,906425045,14235,Inside,SawyerW,Norm,1Fam,1.5Fin,6,8,1900,1993,Unf,Y,1445,2,0,3,1,TA,6,0,2.0,N,138500
5,138,535126040,16492,Corner,NAmes,PosA,1Fam,1Story,6,6,1966,2002,ALQ,Y,1888,2,1,2,1,Gd,6,1,2.0,Y,190000
6,2827,908186070,3675,Inside,Edwards,Norm,TwnhsE,SFoyer,6,5,2005,2006,GLQ,Y,1072,2,0,2,1,TA,5,0,2.0,Y,140000
7,145,535154050,12160,Inside,NAmes,Norm,1Fam,1Story,5,5,1959,1959,Rec,Y,1188,1,0,3,1,TA,6,0,2.0,Y,142000
8,1942,535353130,15783,Inside,OldTown,Artery,1Fam,1Story,5,5,1952,1952,Rec,Y,924,1,0,2,1,TA,6,0,1.0,Y,112500
9,1956,535426130,11606,Inside,NAmes,Norm,1Fam,2Story,5,5,1969,1969,Rec,Y,2080,1,2,5,1,Fa,9,2,2.0,Y,135000
10,1044,527451290,1680,Inside,BrDale,Norm,Twnhs,2Story,6,5,1971,1971,ALQ,Y,987,1,1,2,1,TA,4,0,1.0,Y,85400
11,2752,906380150,7488,Inside,CollgCr,Norm,1Fam,1Story,7,5,2005,2005,GLQ,Y,1208,2,0,2,1,Gd,6,0,2.0,Y,183600
12,807,906226060,26400,FR2,SawyerW,Feedr,1Fam,2Story,5,7,1880,2007,NB,Y,2016,1,0,4,1,TA,7,1,2.0,P,131000
13,1177,533236070,2645,Inside,Somerst,Norm,Twnhs,2Story,8,5,1999,2000,GLQ,Y,1607,2,1,3,1,Gd,7,0,2.0,Y,200000
14,1480,907418040,9627,Inside,CollgCr,Norm,1Fam,1Story,7,5,2007,2007,GLQ,Y,1361,2,0,3,1,Gd,6,0,2.0,Y,193000
15,324,923202105,10114,Inside,Mitchel,Norm,1Fam,1Story,5,5,2004,2005,Unf,Y,1430,2,0,3,1,Gd,7,0,2.0,Y,173500
16,1311,902301140,4571,Inside,OldTown,Norm,1Fam,2Story,5,5,1916,1950,Unf,N,1344,1,0,4,1,TA,7,0,3.0,Y,98000
17,770,905101490,8816,Corner,Sawyer,Feedr,1Fam,1Story,5,6,1963,1963,Rec,Y,1121,1,0,3,1,TA,5,0,2.0,Y,139000
18,2063,905107140,8197,Inside,Sawyer,Norm,1Fam,1Story,6,5,1977,1977,Unf,Y,1285,1,1,3,1,TA,7,1,2.0,Y,143500
19,69,528458070,8640,Inside,Somerst,Norm,1Fam,2Story,7,5,2009,2009,GLQ,Y,1547,2,1,3,1,Gd,7,0,2.0,Y,215200
20,2062,905106150,8724,Inside,Sawyer,Norm,1Fam,1Story,5,5,1968,1968,BLQ,Y,894,1,0,3,1,TA,5,1,2.0,Y,129000
21,351,527131030,5664,Inside,StoneBr,Norm,TwnhsE,1Story,8,5,2000,2000,GLQ,Y,1659,2,0,2,1,Ex,5,1,2.0,Y,278000
22,2393,528142010,12867,Corner,NridgHt,Norm,1Fam,2Story,8,5,2005,2006,Unf,Y,2253,2,1,3,1,Ex,8,1,2.0,Y,344133
23,12,527165230,7980,Inside,Gilbert,Norm,1Fam,1Story,6,7,1992,2007,ALQ,Y,1187,2,0,3,1,TA,6,0,2.0,Y,185000
24,2339,527250040,34650,Inside,Gilbert,Norm,2fmCon,1Story,5,5,1955,1955,Rec,N,1056,1,0,3,1,TA,5,0,2.0,Y,145000
25,624,535104120,10573,Corner,NAmes,Norm,1Fam,1Story,6,6,1961,1961,Rec,Y,1453,2,0,3,1,TA,6,1,2.0,Y,187500
26,86,532376160,8450,Inside,Sawyer,RRAe,1Fam,1Story,5,8,1965,2009,GLQ,Y,894,1,0,3,1,TA,5,1,1.0,Y,138500
27,1534,909277040,11700,Inside,Crawfor,Norm,1Fam,1.5Fin,5,6,1937,1995,BLQ,Y,1938,2,0,4,1,Gd,7,1,1.0,Y,198000
28,2243,911103060,8250,Inside,IDOTRR,Feedr,2fmCon,2Story,5,6,1895,2006,Unf,N,1991,2,0,4,2,TA,9,0,0.0,N,119600
29,1957,535450190,8064,Corner,NAmes,Artery,1Fam,1.5Fin,5,7,1949,2006,Unf,Y,924,1,0,3,1,TA,6,1,2.0,Y,122900
30,380,527355150,9600,Inside,NWAmes,PosN,1Fam,1Story,8,5,1981,1981,ALQ,Y,2524,2,1,4,1,Gd,9,1,2.0,Y,278000
31,2860,909276010,11435,Corner,Crawfor,Norm,1Fam,2Story,8,7,1929,1950,Unf,Y,1517,1,0,3,1,Gd,7,2,2.0,Y,230000
32,2517,533250130,9549,CulDSac,Veenker,Norm,TwnhsE,1Story,8,5,1995,1996,LwQ,Y,1494,1,1,2,1,Ex,6,1,2.0,Y,270000
33,1933,535302070,10950,Inside,NAmes,Norm,1Fam,1Story,6,6,1952,1952,ALQ,Y,948,1,0,2,1,TA,5,0,2.0,N,125000
34,820,906340110,10637,Inside,CollgCr,Norm,1Fam,1Story,8,5,2007,2008,GLQ,Y,1718,2,0,3,1,Gd,7,1,3.0,Y,297000
35,675,535426150,9000,Inside,NAmes,Norm,1Fam,1Story,6,6,1958,1958,Unf,Y,1142,1,0,2,1,TA,5,1,1.0,Y,113500
36,2910,923225240,2665,Inside,MeadowV,Norm,TwnhsE,2Story,5,6,1977,1977,ALQ,Y,1475,2,0,4,1,TA,6,1,1.0,Y,127000
37,21,527358140,11751,Inside,NWAmes,Norm,1Fam,1Story,6,6,1977,1977,BLQ,Y,1844,2,0,3,1,TA,7,1,2.0,Y,190000
38,1873,534177210,9600,Inside,NWAmes,Norm,1Fam,1Story,7,6,1973,1973,ALQ,Y,1242,1,1,3,1,TA,6,1,2.0,Y,175500
